Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,1720,1224,30000.0,26138.016431616186,4558.836046999204,31211.735152988695,19.32093023255814,12.12016256548381,8.625045918693129,30000,30000,30000,30000,30000,30000,30000,30000,31000,31000,31000
,Aggregated,1720,1224,30000.0,26138.016431616186,4558.836046999204,31211.735152988695,19.32093023255814,12.12016256548381,8.625045918693129,30000,30000,30000,30000,30000,30000,30000,30000,31000,31000,31000
