Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,1172,0,11000.0,10267.03636588717,4590.168859998812,11867.942041004426,67.0,9.495444614970895,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,12000,12000
,Aggregated,1172,0,11000.0,10267.03636588717,4590.168859998812,11867.942041004426,67.0,9.495444614970895,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,12000,12000
