Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,1721,1226,30000.0,26119.456053657796,4562.963954012957,31232.19986500044,19.270772806507843,12.243141178352763,8.721726371098482,30000,30000,30000,30000,30000,30000,30000,30000,31000,31000,31000
,Aggregated,1721,1226,30000.0,26119.456053657796,4562.963954012957,31232.19986500044,19.270772806507843,12.243141178352763,8.721726371098482,30000,30000,30000,30000,30000,30000,30000,30000,31000,31000,31000
