Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,1271,0,21000.0,18935.44256630442,4601.069316995563,22113.265791005688,67.0,9.63099409971939,0.0,21000,21000,21000,22000,22000,22000,22000,22000,22000,22000,22000
,Aggregated,1271,0,21000.0,18935.44256630442,4601.069316995563,22113.265791005688,67.0,9.63099409971939,0.0,21000,21000,21000,22000,22000,22000,22000,22000,22000,22000,22000
