Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/create_order,1175,0,11000.0,10257.620872015113,4676.048556997557,11770.978241998819,67.0,9.515750529016588,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,12000,12000
,Aggregated,1175,0,11000.0,10257.620872015113,4676.048556997557,11770.978241998819,67.0,9.515750529016588,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,12000,12000
